,country,artist,title,lyrics
23,Finland,JVG,Ikuinen vappu,"6 ContributorsIkuinen vappu Lyrics
Ja matka jatkuu
Joensuusta länteen, Kuopiosta pohjoiseen
Ei enää duunii, painan puita uuniin
Syvemmälle skutsiin meen

Loputonta baanaa, loppua en tuu saamaan
Kaukana poika on himasta, ne sanoo et: ""Koita jo hidastaa""
Saisko jo ekan tuopin alas? En saa kai näit vuosii takas
Suomi rakas saa kuosittaa, vielki ratis vaa suorittaa
Karkuun kaamoksesta, sakot ylinopeudesta
Samal vaihtuu mesta, kärsin vauhtisokeudesta
Reissutarinoita, tyhjii varikoita
Aamuvapinoita, eksyny on stadin poika

Ja matka jatkuu
Joensuusta länteen, Kuopiosta pohjoiseen
Ei enää duunii, painan puita uuniin
Syvemmälle skutsiin meen

Ikuinen vappu takapenkil jatkuu
Haluun tarunhohtoiseen
Ei enää duunii, painan puita uuniin
Syvemälle skutsiin meen
You might also like
Junaa, laivaa, flygarii, ootan tääl pysäkil
Brunaa aina ysäril, suuntaa mä kysäsin
En nää eteen millää, tie muistuttaa pöllön silmää
Tääl on rämmittävää, onneks meil on flindassa lämmittävää
Paska haisee ja banjot soi, joku vessassa vaikeroi
Moottori rupee lämpee, täält tulee uus PMMP
Reissutarinoita, tyhjii varikoita
Aamuvapinoita, eksyny on stadin poika

Ja matka jatkuu
Joensuusta länteen, Kuopiosta pohjoiseen
Ei enää duunii, painan puita uuniin
Syvemmälle skutsiin meen

Ikuinen vappu takapenkil jatkuu
Haluun tarunhohtoiseen
Ei enää duunii, painan puita uuniin
Syvemälle skutsiin meen

Ja matka jatkuu
Joensuusta länteen, Kuopiosta pohjoiseen
Ei enää duunii, painan puita uuniin
Syvemmälle skutsiin meen
Ikuinen vappu takapenkil jatkuu
Haluun tarunhohtoiseen
Ei enää duunii, painan puita uuniin
Syvemmälle skutsiin meen6Embed"
24,France,Ninho,La vie qu'on mène,"69 ContributorsTranslationsEnglishLa vie qu’on mène Lyrics

Chady
Hey, hey

Bientôt, j'irai au ciel rejoindre Rimkus, le p'tit Lamine
Regarde la vie qu'on mène, on fait ça que pour la famille
On a toujours fait que du sale et nos parents ne font que prier
Pardonne-moi si j'suis pas là, c'est qu'je cours derrière les milliers
J'suis avec Savastano dans un quatre étoiles en Crête
Pas très loin de Malia, elle est chargée sous le maillot
Le nez dans mes affaires, bébé, m'attends pas pour le dîner
Et si c'est trop bizarre, bah, j'disparaîtrais comme Houdini
Vaillant comme Souleymane, vaillant comme Mekness et di-Meh
À deux doigts d'péter l'million, mais ce pédé s'fait désirer
Pour l'instant, j'suis dans le hall, sous doré, j'réfléchis
Qui aura l'sourire en coin d'bouche si je flanche ?
Ceux qui parlent fort sont que des baltringues déguisées
J'ai les chaussures qui piquent, j'arrive vers les Champs-Élysées
On peut t'enlever la vie pour sauver nos réputations
Évitons toutes les tentations, à l'heure qu'il est, j'suis dans l'avion
On tire, laisse-les planter, j'arrive en tête du plôton, j'suis là que pour la plata (J'suis là que pour la plata)
Le lundi et le mardi, le gérant se lève à cinq heures par peur qu'on vienne l'éclater (Par peur qu’on vienne l'éclater)
See Ninho LiveGet tickets as low as $53You might also like
Y a rien d'facile dans l'argent facile, Zé Pequeno me fascine
.357 Magnum, pas de grappling
Y a la volaille qui rapplique, on s'échappe
Minuit, pété sous champ', demain, j's'rai aux Seychelles
Et pour avoir cette vie-là, j'ai remonté les bretelles
Quand le rêve est trop long, le réveil est brutal
Black Panther, comme la daronne de 2Pac
Les barreaux ou les tropiques, on prendra l'argent d'tout-par
Et de toute façon, c'est nous les bests, en vrai
Dis-leur qu'ils restent tranquilles ou le machin va discuter
Tu veux donner des coups de mains ? Allez, baise ton père
J'ai mon papier, j’ai mon équipe, j'suis pas dans la mendicité

Élève dissipé d’après les dires du prof'
Cinq ans plus tard, son fils me demandera une to-ph'
Cinq-cents milles albums plus tard, ma tête a pas gonflé
Le prochain s’appellera ""Destin"", j'vais tout vous raconter (Et j'dirai que la vérité)

Bientôt, j'irai au ciel rejoindre Rimkus, le p'tit Lamine
Regarde la vie qu'on mène, on fait ça que pour la famille
On a toujours fait que du sale et nos parents ne font que prier
Pardonne-moi si j'suis pas là, c'est qu’je cours derrière les milliers
Oh oh oh, oh oh oh
Pardonne-moi si j'suis pas là, c'est qu'je cours derrière les milliers
Woh, oh, oh, woh, oh, oh
Pardonne-moi si j'suis pas là, c'est qu'je cours derrière les milliers13Embed"
25,Germany,Apache 207,Roller,"39 ContributorsTranslationsEnglishFrançaisRoller Lyrics

(Lucry)
(Suena)

Warum fickt ihr Kopf, Kopf?
Mein Kopf platzt, Gucci-Sandalen, ich trag' sie nur aus Trotz, Trotz
Trotzdem machen sie mir nach, kann's nicht glauben, lieber Gott
Gott sei Dank schützt du mich, wenn meine Wespe ma' wieder rollt
Wenn sie rollt (Brrm)
Bin auf dem Weg
Mit meinem Baby, sie sticht zu, geht besser aus dem Weg
Mit zehn PS in deine Stadt, es wird nicht angenehm
Zähl' auf meine Wespe und jetzt bringt sie euch zum Schafe zähl'n
Na-na-ne (Na-na-ne)
Eins-gegen-eins, er kriegt 'ne Bombe, ruft sein'n Bro, aber vergisst, mein Abi boxt sein'n Abi
Cruis' mit offenen Haaren und hinter mir sitzt eine Bitch like Barbie, Hood-Safari
Steig' auf die Speedfight, scheiß auf Kawasaki, let's go, Barbie
Kickdown, mit siebzig auf eure Party (Brrm)

Sie machen Fotos, Taschen platzen, aber Apache bleibt gleich (Brrm)
Brudi, ich muss los, wenn die Roller wieder schrei'n (Brrm)
Reden mir von Koks und von Messerstecherei'n (Brrm)
Doch sie müssen los, wenn unsre Roller wieder schrei'n (Brrm, brrm)
See Apache 207 LiveGet tickets as low as $80You might also like
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm)

Markier den Harten, Bro
Wenn man der Sache auf den Grund geht, merkt man, das ist in der Tat nicht so
Ruf doch, wen du willst, von mir aus kannst du auch dein'n Papi hol'n
Schwänze lutschen ist bei euch kleinen Pissern doch Tradition
Mach nicht so
Party-Hoes
Seh'n mich im Unterhemd, schiel'n zu mir rüber, sie checken mein'n Body aus
Bitch, hundertfünf Kilogramm Definition ohne Cardio
Ob du's willst oder nicht, Bro, Apache läuft ab heut im Radio
Da-di-oh (Brrm)

Sie machen Fotos, Taschen platzen, aber Apache bleibt gleich (Brrm)
Brudi, ich muss los, wenn die Roller wieder schrei'n (Brrm)
Reden mir von Koks und von Messerstecherei'n (Brrm)
Doch sie müssen los, wenn unsre Roller wieder schrei'n (Brrm, brrm)

Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm)
Brrm, brrm
Brrm, brrm14Embed"
26,Greece,Light,24hrs,"12 Contributors24hrs Lyrics
Άμα με αγαπάς ε σταμάτα την βίζιτα ρε, σταμάτα, το κατάλαβες;, το κατάλαβες;
Baby Buona Sera
Μιλάς ιταλικά baby girl είσαι bella
Θέλω να σε πάω με το lambo στα αστέρια
Πως να σε ξεχάσω δεν μπορώ έχω θέμα

Baby Buona Sera
Μιλάς ιταλικά baby girl είσαι bella
Θέλω να σε πάω με το lambo στα αστέρια
Πως να σε ξεχάσω δεν μπορώ έχω θέμα
24 ώρες την μέρα
Παίζεις στα σεντόνια με τα χέρια δεμένα
Πάνω στο κορμί σου παγωμένη καδένα
Ξέρεις δεν μοιράζομαι είσαι μόνο για εμένα
24 ώρες την μέρα
Μου είπες πως, με βλέπεις μόνο φιλικά
Ίσως να φταίω, okay
Το κάνουμε ξανά
Τώρα μου λες ότι, το σκέφτεσαι ξανά
Και πάνω μου κολλάς, γιατί έβγαλα λεφτά

Bitches με θέλουν μόνο για τα λεφτά (Ha, ha)
Ζούμε lifestyle απ' το μηδέν superstar (Star)
Τρέχουμε στα lives κυνηγάω τα λεφτά (Yeah, yeah)
Είμαι ερωτευμένος με ότι κάνω βάλε ποτά (Pow, pow)
Πρέπει μωρό μου να το ζήσουμε (Mmm, Uh)
Έχει έρθει η ώρα για να κάνω διακοπές (Yeah, yeah)
Μύκονος σουίτα κλείνω τα πριβέ (Uh, uh)
Πέντε K το βράδυ ποιος το πίστευε
Αλέ Αλέ, κομπλέ
Ανεβαίνει πάνω μου στο καναπέ
Αλέ Αλέ, κομπλέ
Σκάω στο μαγαζί (και είμαι ο πιο fresh)
You might also like
Baby Buona Sera
Μιλάς ιταλικά baby girl είσαι bella
Θέλω να σε πάω με το lambo στα αστέρια
Πως να σε ξεχάσω δεν μπορώ έχω θέμα
24 ώρες την μέρα
Παίζεις στα σεντόνια με τα χέρια δεμένα
Πάνω στο κορμί σου παγωμένη καδένα
Ξέρεις δεν μοιράζομαι είσαι μόνο για εμένα
24 ώρες την μέρα
Μου είπες πως, με βλέπεις μόνο φιλικά
Ίσως να φταίω, okay, το κάνουμε ξανά
Τώρα μου λες ότι, το σκέφτεσαι ξανά
Και πάνω μου κολλάς, γιατί έβγαλα λεφτά

Έχω θέμα, όλη μέρα σκέφτομαι μόνο εσένα (μόνο εσένα)
Έχεις μπει μες στο μυαλό μου σαν σφαίρα (σαν σφαίρα)
Όταν γαμιώμαστε με φώτα αναμμένα (αναμμένα)
Σβησμένα, πάλι αναμμένα
Πέτρες στον λαιμό της σαν να παίζει στους Flintstones
Άμα θέλεις φέρε και μια φίλη μαζί σου (yeah)
Baby είμαι rapstar, βγάζουμε φράγκα
Γάμα την δουλειά σου πήγαινε παραιτήσου (yeah)
Πάνω μου πράσινα
Μα που να τα χαλάσω τόσα λεφτά
Το θέλει ξανά και ξανά (ahh)
Baby Buona Sera
Μιλάς ιταλικά baby girl είσαι bella
Θέλω να σε πάω με το lambo στα αστέρια
Πως να σε ξεχάσω δεν μπορώ έχω θέμα
24 ώρες την μέρα
Παίζεις στα σεντόνια με τα χέρια δεμένα
Πάνω στο κορμί σου παγωμένη καδένα
Ξέρεις δεν μοιράζομαι είσαι μόνο για εμένα
24 ώρες την μέρα
Μου είπες πως, με βλέπεις μόνο φιλικά
Ίσως να φταίω, okay, το κάνουμε ξανά
Τώρα μου λες ότι, το σκέφτεσαι ξανά
Και πάνω μου κολλάς, γιατί έβγαλα λεφτάEmbed"
27,Guatemala,J Balvin,LA CANCIÓN,"51 ContributorsTranslationsEnglishDeutschLA CANCIÓN Lyrics

Yeh, yeh, yeh

Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo’ bien borracho'
Que bailamo' bien borracho’
Nos besamo' bien borracho' los dos
Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo’ bien borracho’ los dos
Pensaba que te había olvida'o

Justo cuando creía
Que por comerme a do’ o diez, te olvidaría' (Yeh)
Cogí un respiro y me salí de la vía
Y como un pendejo, no sabía lo que hacía
Nunca lo superé, nunca te superé (No; no)
Hasta me aprendí to'a la' balada’ en inglé' (Yeh)
Respiré y conté hasta tres (Uno, dos, tres)
Ere' la fantasía oscura de Kanye West, bebé, ey
Hace tiempo lo barato me salió caro (Yih)
Yo sólo twitteo, bala' loca' disparo (Yih)
¿Cómo olvidar la bellaquera en el carro?
¿A que guió solo?
You might also like
Pensaba que te había' olvida'o (Pero no), yeh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' dos
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo' bien borracho' los dos, ey, ey

Y hace tiempo que no venía' a mi cabeza
Pero ya van par de cerveza'
Y me acordé de cómo tú me besa'
De to' lo' polvo' encima 'e la mesa
Y en el carro, la playa, y el motel
En casa de tu pai', cuando yo te iba a ver
Las vece' que tu mai' no' llegó a coger
Tú brincando mojaíta', sudando Chanel
Yo sé que lo nuestro e' cosa de ayer
Y me pone contento que te va bien con él
Yo ni te extrañaba ni te quería ver
Pero pusieron la canción que te gustaba poner
Y me acordé de ti, cuando me hiciste feliz
Se acabó, pues, me fui, ey
Yo mismo me río de mí porque—
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' do'


Y yo pensaba que tu nombre estaba muerto, eh
Pero te soñé despierto, ey
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto
Y yo pensaba que tu nombre estaba muerto
Pero te soñé despierto
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto11Embed"
28,Honduras,J Balvin,LA CANCIÓN,"51 ContributorsTranslationsEnglishDeutschLA CANCIÓN Lyrics

Yeh, yeh, yeh

Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo’ bien borracho'
Que bailamo' bien borracho’
Nos besamo' bien borracho' los dos
Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo’ bien borracho’ los dos
Pensaba que te había olvida'o

Justo cuando creía
Que por comerme a do’ o diez, te olvidaría' (Yeh)
Cogí un respiro y me salí de la vía
Y como un pendejo, no sabía lo que hacía
Nunca lo superé, nunca te superé (No; no)
Hasta me aprendí to'a la' balada’ en inglé' (Yeh)
Respiré y conté hasta tres (Uno, dos, tres)
Ere' la fantasía oscura de Kanye West, bebé, ey
Hace tiempo lo barato me salió caro (Yih)
Yo sólo twitteo, bala' loca' disparo (Yih)
¿Cómo olvidar la bellaquera en el carro?
¿A que guió solo?
You might also like
Pensaba que te había' olvida'o (Pero no), yeh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' dos
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo' bien borracho' los dos, ey, ey

Y hace tiempo que no venía' a mi cabeza
Pero ya van par de cerveza'
Y me acordé de cómo tú me besa'
De to' lo' polvo' encima 'e la mesa
Y en el carro, la playa, y el motel
En casa de tu pai', cuando yo te iba a ver
Las vece' que tu mai' no' llegó a coger
Tú brincando mojaíta', sudando Chanel
Yo sé que lo nuestro e' cosa de ayer
Y me pone contento que te va bien con él
Yo ni te extrañaba ni te quería ver
Pero pusieron la canción que te gustaba poner
Y me acordé de ti, cuando me hiciste feliz
Se acabó, pues, me fui, ey
Yo mismo me río de mí porque—
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' do'


Y yo pensaba que tu nombre estaba muerto, eh
Pero te soñé despierto, ey
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto
Y yo pensaba que tu nombre estaba muerto
Pero te soñé despierto
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto11Embed"
29,Hong Kong,Keung To,"Dear My Friend,","3 ContributorsDear My Friend, Lyrics

聽到沒有？ (沒有 沒有)
慶幸當天你在球場邂逅 (球場邂逅)
雨後哀愁 (哀愁) 擔當我後援到最後
從不講報酬

單打獨鬥
世上只得你未懷疑我荒謬 (我荒謬)
季節急變 夏至未完便入秋
走進平行宇宙
怎接受明日已經分開走

如果當初天空失去你的光芒
人生將會獨處一個甚麼的地方？
孩子的歲月輕狂 躲開世道瘋狂
那小小堡壘建造 這烏托邦
如果當天灰心 不見你於身旁
誰肯聽我任性宣洩任我沮喪 最壞時光
總是你 會借我這對熟悉的肩膀
情緒可亂放

當孤獨了 你樂觀的臉亦長留背後
眼淚也乾涸但你自然是綠洲 給我能源似舊
在孤島裡面燃亮最光的星斗
You might also like
如果當初天空失去你的光芒
人生將會獨處一個甚麼的地方？
孩子的歲月輕狂 躲開世道瘋狂
你天空海闊 我任意闖
跟你亂闖

你遠走後 現實中激鬥
我沒有你的援手
最難過總想起我們笑口
能代你更勇敢的向前走

如果今天天空只見你的天堂
容許給我代你心跳活得很健康
煩擾中抱著希望 抵消每滴失望
有一天相約 我們找烏托邦
孩子風箏高飛 飛進記憶珍藏
回憶的你是最親切是最開朗 我在模仿
一樣笑 我信你化作漫天的星座
遙遠的在看Embed"
30,Hungary,Azahriah,Mind1,"7 ContributorsTranslationsEnglishMind1 Lyrics

Mondd el, miért, miért van, hogy fáj?
Miért van, hogy bárhová megyek
Az éj leple alatt újra és újra rám találsz?
Miért is félsz? Hisz feladtad már
És esténként várod, hogy mit hoz a holnap
De tudod, hogy úgyis ugyanaz vár
És feladod még egyszer
Igen, ma is kicsit akarom, hogy élessz fel
Gyere be, add azt, amit ezelőtt éreztem!
Gyere be, add azt, amit ezelőtt éreztem!
Nem voltam bátor, nem voltam jó
Mégis rád várok

Mert úgyis minden mindegy nekem már
Én nem is akartam mást, a szívembe zártam már
Minden problémám, ami reggel visszatér hozzám
Én nem is akartam mást, a szívеmbe zártam már
Minden problémát, ami reggеl visszatér hozzám

Neked nem megy, neked nem
Csak telik az idő, és nem ébredtem fel
Csak az álmomban érhetlek el
De kattan a vekker és vége lesz
Nem akarom, hogy fájjon, nem akarom, hogy bántson
Nem akarom, hogy vétkezzen
Én őt mindig haza várom, nekem ő az álmom
Ebben az életben
De miért fáj, hova mész, lány?
Nem értettük egymást meg
Nem érsz rám, kihez mész át?
Pedig te vagy az egyetlen
Csak várj-áj, nekem idebent úgy fáj-áj!
Nem akarok én már mást-mást (Most, ó, nem, nem, nem)
You might also like
Mert úgyis minden mindegy nekem már
Én nem is akartam mást, a szívembe zártam már
Minden problémám, ami reggel visszatér hozzám
Én nem is akartam mást, a szívembe zártam már
Minden problémám, ami reggel vissza—

Visszatér
Tudom, egyszer hazatalálsz
Csak várok kicsit még
Tudom, egyszer hazatalál

Mert úgyis minden mindegy nekem már
Én nem is akartam mást, a szívembe zártam már
Minden problémám, ami reggel visszatér hozzám
Én nem is akartam mást, a szívembe zártam már
Minden problémám, ami reggel visszatér hozzám
3Embed"
31,Iceland,Hafdís Huld,Dvel ég í draumahöll,"2 ContributorsDvel ég í draumahöll Lyrics
Dvel ég í draumahöll
Og dagana lofa
Litlar mýs um löndin öll
Liggja nú og sofa
Svífur ró á djúp og dal
Dýr til hvílu ganga
Einnig sofna skolli skal
Með skottið undir vanga

Dvel ég í draumahöll
Og dagana lofa
Litlar mýs um löndin öll
Liggja nú og sofa
Svífur ró á djúp og dal
Dýr til hvílu ganga
Einnig sofna skolli skal
Með skottið undir vangaYou might also likeEmbed"
32,India,King,Maan Meri Jaan,"4 ContributorsMaan Meri Jaan Lyrics
Main teri aankho mein udaasi kabhi dekh sakda nai
Tujhe khush main rakhunga soneya
Main tere hotho pe khamoshi kabhi dekh sakda nai
Sari baatein main sununga soneya
Tere dil se na, kabhi khelunga
Saare raaz apne, mai tujhko de dunga
Meri jaan tune mujhko pagal hai kiya
Mera lagda na jiya
Tere bager

Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni baahon mein chhupa ke rakhunga
Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni aankho mein basake rakhunga
Tu maan meri jaan
Tu maan meri jaan
Tu maan meri jaan

Main saya banke saath tere rehna 24 ghantey
Main rеhna 24 ghantey
(Tere bina dil lagda nai)
Main aankhon sе churalu jana tere jo bhi ghum the
Haye Tere jo bhi ghum the
(Tere bina dil lagda nai)
Meri baahon me aake tu jana nahi
Esi rabb se main maangu duaa
Tere dil se na, kabhi khelunga
Sare raaz apne,mai tujhko de dunga
Meri jaan tune mujhko pagal hai kiya
Mera lagda na jiya
Tere bager
You might also like
Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni baahon mein chhupa ke rakhunga
Tu maan meri jaan
Main tujhe jaane na dunga
Main tujhko apni aankho mein basake rakhunga
Tu maan meri jaan
Tu maan meri jaan
Tu maan meri jaan
Maan, meri jaan
Tu maan meri jaanEmbed"
33,Indonesia,Anggi Marito,Tak Segampang Itu,"4 ContributorsTak Segampang Itu Lyrics

Waktu demi waktu
Hari demi hari
Sadar ku t'lah sendiri
Kau t'lah pergi jauh
Tinggalkan diriku
Ternyata ku rindu

Senyuman yang s'lalu membungkus hati yang terluka
Di depan mereka
Tuhan masih pantaskah ku 'tuk bersamanya
Karna hati ini inginkannya

Tak segampang itu ku mencari penggantimu
Tak segampang itu ku menemukan sosok seperti dirimu cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah

Terlalu besar kutaruh harapan pada dirimu
Itu alasanku lama tanpa dirimu
Mereka yang bilang ku akan dapat lebih darimu
Tak mungkin
Semua itu tak mudah
You might also like
Ku mencari penggantimu
Tak segampang itu ku menemukan sosok seperti dirimu, ooh, cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah
Ku mencari penggantimu
Sosok seperti dirimu, cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah
Kau memilih untuk berpisahEmbed"
34,Ireland,Lewis Capaldi,Someone You Loved,"223 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisTürkçeالعربيةSomeone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed"
35,Israel,Eden Hason,שקיעות אדומות,"3 ContributorsShki’ot Adumot - שקיעות אדומות Lyricsככה בלילות אני יושב לכתוב מילים
ככה באותו מבוך עולים געגועים
כדי שלא יחזור שוב המבול, אני שוטף את הפנים
וזורק את האבק מהחיים
ככה לא לבחור בדרך שכולם הולכים
בעיניים עצומות אני רואה את השבילים
בעולם הזה מי מחבר ומי נותן חיים
יש אמת אחת כתובה לה בספרים
לראות את הטוב
אסור לעצור את השמש עכשיו
שקיעות אדומות
מול כל העולם
משליך את הכל אל הים
ככה לפעמים אני נזכר באנשים
מי היה לי כשנשברתי, מי סגר לי בפנים?
ועד שיום חדש פתאום יבהיר הכל
יפיג בי כעסים, אגלה שאין לי מה לשמור בפנים
לראות את הטוב
אסור לעצור את השמש עכשיו
שקיעות אדומות
מול כל העולם
משליך את הכל אל הים
You might also likeכבר שנים עברה הנפש טעונה ברגשות
כשיורקים עליה אש היא משיבה בלהבות
היא תמיד רוצה לצרוח על מנת למצוא שתיקות
כמה מחשבות עברו בי, עוד שואל מה לעשות
מה נשאר?
לראות את הטוב
אסור לעצור את השמש עכשיו
שקיעות אדומות
מול כל העולם
משליך את הכל אל הים
יותר לא אפול
יותר לא אפול כי ניצחתי עכשיו
זריחות אדומות
מול כל העולם
משליך את הכל אל היםEmbed"
36,Italy,Salmo,IL CIELO NELLA STANZA,"53 ContributorsIL CIELO NELLA STANZA Lyrics

(Yeah, yeah)
Yeah

Se chiudo gli occhi, è solo per vederti
In questo film ci sei tu (Ehi)
I titoli di coda stanno fermi
Siamo noi che andiamo giù (Ehi)
Ho il sole in faccia se ridi (Uoh)
Sei bella pure se gridi (Uoh)
Giuro, posso darti molto più
Di ciò che sottolinei nei libri (Uoh)
Guarda che cosa mi fai
Nudo davanti a 'sto pubblico
Non sono il tipo, lo sai
I versi d'amore mi fanno sentire uno stupido
Finisce che prendo a cazzotti le porte
Dici sei pazzo, ma pazzo di te
Dopo scopiamo, tu vieni sei volte
Cazzo diranno i vicini di me?
Sei la poesia che non ho scritto
La canzone che non esiste
La città che non ho visto
Fai sembrare tutta questa merda meno triste
A volte sono un mostro, il cuore chalet
Freddo come il posto che piace a te
Lacrime d'inchiostro con il tuono
Chiedono del nostro amore, De André, eh
See Salmo LiveGet tickets as low as $67You might also like
Ho chiuso il cielo nella stanza, ho le pareti blu (Ehi)
Ho perso la ragione, la ragione sei tu
Che mi fai andare fuori, seh
Tu mi fai andare fuori

You're like the beat of my heart, we keep on
Baby, please forgive me, I love hard
Shall we need space, turn around and get closer, then we
Back together and back together again

Ehi, ehi, potrei guardarti per ore
Ma oggi non posso, domani lo giuro
Mani ghiacciate sul cuore
Mani sul collo, mani sul culo (Ahah)
Scusa il mio tocco di classe (Ehi)
Ma credo la terra sia piatta (Ehi)
Quando sei qui, il mondo inverte il suo asse (Ehi)
E scivoli tra le mie braccia
Il cuore si ferma, cambiamo le pile
Queste parole fan come fucili
Passa un secondo tra il dire e il morire
Non basta una vita per farle capire (Ehi)
L'amore fa perdere il lume
È come l'inferno, ma piovono piume
Io sono il tipo che sta sulle sue
Questa coperta non basta per due
Può fare freddo anche il 15 agosto
E tu sei dall'altra parte del mondo
So che è scontato guardare le stelle
Vivo un secondo che dura per sempre
Ho chiuso il cielo nella stanza, ho le pareti blu (Ehi)
Ho perso la ragione, la ragione sei tu
Che mi fai andare fuori, seh
Tu mi fai andare fuori

You're like the beat of my heart, we keep on
Baby, please forgive me, I love hard
Shall we need space, turn around and get closer, then we
Back together and back together again

Senti come fa, senti come fa
La canzone che ho scritto per te
Non te l'aspettavi invece eccola qua
Non te l'aspettavi da uno come me, nah6Embed"
37,Japan,Yuuri,ドライフラワー,"7 ContributorsTranslationsEnglishRomanizationドライフラワー (Dried Flower) Lyrics

多分、私じゃなくていいね
余裕のない二人だったし
気付けば喧嘩ばっかりしてさ
ごめんね
ずっと話そうと思ってた
きっと私たち合わないね
二人きりしかいない部屋でさ
貴方ばかり話していたよね

もしいつか何処かで会えたら
今日の事を笑ってくれるかな
理由もちゃんと話せないけれど
貴方が眠った後に泣くのは嫌

声も顔も不器用なとこも
全部全部 嫌いじゃないの
ドライフラワーみたい
君との日々も
きっときっときっときっと
色褪せる
You might also like
多分、君じゃなくてよかった
もう泣かされることもないし
「私ばかり」なんて言葉も
なくなった
あんなに悲しい別れでも
時間がたてば忘れてく
新しい人と並ぶ君は
ちゃんとうまくやれているのかな

もう顔も見たくないからさ
変に連絡してこないでほしい
都合がいいのは変わってないんだね
でも無視できずにまた少し返事

声も顔も不器用なとこも
多分今も 嫌いじゃないの
ドライフラワーみたく
時間が経てば
きっときっときっときっと
色褪せる

月灯りに魔物が揺れる
きっと私もどうかしてる
暗闇に色彩が浮かぶ
赤黄藍色が胸の奥
ずっと貴方の名前を呼ぶ
好きという気持ち また香る
声も顔も不器用なとこも
全部全部 大嫌いだよ
まだ枯れない花を
君に添えてさ
ずっとずっとずっとずっと
抱えてよ

Ah-ah, ah-ah1Embed"
